,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
0,CLARA analytics,"Santa Clara, CA","The Data Scientist role involves working on all stages of the data science pipeline, from acquiring and assessing data, selecting appropriate models and...",Data Scientist,,60000.0
1,Shutterfly,"Redwood City, CA",The Data Scientist will be responsible for designing and directing experiments and observational studies to optimize our customer acquisition and engagement...,Data Scientist,,60000.0
2,Lam Research,"Fremont, CA 94538 (Irvington area)","Define data structures, evaluate data quality, perform appropriate data analyses using software such as Python and MATLAB....",Data Scientist 4,,60000.0
3,"GRAIL, Inc.","Menlo Park, CA",Participate in data quality review activities and efforts to resolve data quality issues. Develop and manage interactive data visualization and analytic tools...,Senior Staff Clinical Data Scientist,,60000.0
4,Chatham Group,"San Francisco, CA 94104 (Financial District area)","Do you like data? Experience in data analysis, gaming, mobile applications, consulting, or business/financial analysis....",Senior Data Scientist,"$70,000 a year",60000.0
5,Petco,"San Diego, CA",This role will supervise the assistant merchant managers and work very closely with the customer data scientist and manager business analytics....,Services Manager,,60000.0
6,Workbridge Associates,"San Jose, CA 95113 (Downtown area)","A well-established retail company located in Silicon Valley is looking for a contract Senior Data Scientist to take on a role providing modeling, analysis, and...",Senior Data Scientist (Contract),,60000.0
7,Jobspring Partners,"Palo Alto, CA",A Series C Healthcare Startup Located in Palo Alto is on the seeking for a bold Mid-Level Data Scientist to join to the team....,Mid-level Data Scientist,"$130,000 - $165,000 a year",60000.0
8,Remind,"San Francisco, CA","Analyze data to identify trends and opportunities, surface actionable insights, and help teams set goals, forecasts and prioritization of initiatives....",Data Scientist,,60000.0
9,FullDeck,"Los Angeles, CA","2+ years of experience in data mining and/or data science. A flourishing digital media agency with high profile entertainment clients, has an immediate need for...",Data Scientist,,60000.0
10,Brainworks,"Oakland, CA","Our client, a fast-growing, well-funded, ecommerce start-up is looking for a Data Scientist . You will assist in building a data driven culture by exploring the...",Data Scientist,,60000.0
11,Atreca,"Redwood City, CA 94063",We are looking for a Data Scientist who will help us use the information hidden in vast amounts of data to make smarter research decisions and discover novel...,Data Scientist,,60000.0
12,The Honest Company (Career Page),"Los Angeles, CA","We're currently looking to add another Data Scientist to our fantastic Data team. As a Data Scientist, you'll have the opportunity to inform business decisions...",Data Scientist,,60000.0
13,Symantec,"Mountain View, CA","Data acquisition will require navigation of Hadoop, Spark, databases (SQL), 3rd party data sources and text processing....",Research Engineer/ Data Scientist,,60000.0
14,NEURALINK,"San Francisco, CA",Experience with biological data. Experience with time series data. Develop machine-learning techniques for decoding neural data in real time....,Data Scientist,,60000.0
15,Veeva,"Pleasanton, CA",Combine your love and knowledge of quantitative data analysis across large data sets with solid presentation skills Use statistical methods to derive new...,Data Scientist - Deep Learning,,60000.0
16,SpaceX,"Hawthorne, CA","Perform exploratory data analysis, extract data from various sources, clean and aggregate data. The Data Science team is a new team in the Enterprise Data...",Sr. Data Scientist,,60000.0
17,Mission Bio,"San Francisco, CA",We are seeking a highly-motivated Data Scientist I/II to provide analytical support of sequencing data from our proprietary single-cell genomics platform....,Data Scientist I/II,,60000.0
18,Accenture,"San Diego, CA","Data Scientist Specialist. Core Data Scientist team. Scientist Specialist manages, architects and analyzes big data in....",Data Scientist Specialist,,60000.0
19,Twitter,"San Francisco, CA 94103 (South Of Market area)","You will build Twitter’s next-generation Tailored Audience Targeting platform, working closely with product managers, data scientist, and machine learning...","Software Engineer, Backend",,60000.0
