,comp_name,job_location,job_summary,job_title,listed_job_salary,salary_estimated
0,Walmart eCommerce,"San Bruno, CA 94066","Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and...","Director, Retail Learning & Development",,60000.0
1,Facebook,"Menlo Park, CA","Work with engineering, data science, and design teams to build innovative data products and supporting infrastructure....","Product Manager, Advanced Network Planning",,60000.0
2,Kaiser Permanente,"Oakland, CA","He or she will manage a team of analysts, data scientists and statisticians, have understanding and appreciation of analytical processes and business process...",Senior Manager Decision Support,,60000.0
3,PaxVax,"San Diego, CA",Good data anaylsis skills. Is seeking a Scientist to join the Process Development and Clinical Production teams focused on vaccine development from preclinical...,"Scientist, Process Development - Upstream",,60000.0
4,The Aerospace Corporation,"El Segundo, CA 90245","Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Bring fresh ideas from all areas, including distributed...",Associate Software Engineer,,60000.0
5,Walmart eCommerce,"San Bruno, CA 94066","We constantly improve our products based on user data and feedback. Data scientists, front and back-end engineers, product managers, and web and UX/UI teams...",Senior Android Engineer,,60000.0
6,BeiGene,"San Francisco, CA","Collects and researches data; Review, query, and analyze clinical trial data. Interpret, and present clinical trial data both internally and externally....","Director, Clinical Science",,60000.0
7,Walmart eCommerce,"San Bruno, CA 94066","Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and...",Senior Software Engineer - Node.js,,60000.0
8,BeiGene,"San Francisco, CA","Collects and researches data; Review, query, and analyze clinical trial data. Interpret, and present clinical trial data both internally and externally....","Senior Director, Clinical Science",,60000.0
9,Ascent Services Group,"South San Francisco, CA",Interpret data and communicate results in department meeting and project team meeting. We are looking for an exceptional laboratory-based contract scientist to...,Research Associate I,,60000.0
10,Remind,"San Francisco, CA","Analyze data to identify trends and opportunities, surface actionable insights, and help teams set goals, forecasts and prioritization of initiatives....",Data Scientist,,60000.0
11,First American,"Agoura Hills, CA 91301",Knowledge and experience with diverse statistical and data mining methods (e.g. First American Title's Mortgage Solutions division is a member of the First...,Data Scientist,,60000.0
12,Rocket Lawyer,"San Francisco, CA","Define and implement KPIs, work with Data Engineering to ensure data availability and accuracy. About the Role As a Data Scientist at Rocket Lawyer, you’ll...","Data Scientist, Marketing",,60000.0
13,Uber,"San Francisco, CA 94103 (South Of Market area)",You are aware of the power of data. Big and detailed data provides endless opportunities for machine learning and analytics.High scalability engineering....,Machine Learning Systems Engineer - Routing,,60000.0
14,Viatouch Media,"San Diego, CA","ViaTouch currently working with world class customers such as Apple, IBM, First Data, Compass Group to name a few....",AI/Machine Learning Developer,"$85,000 - $125,000 a year",60000.0
15,Osaro,"San Francisco, CA",Experience interfacing with data sources and pre-processing data. Osaro has an agile team of scientists and experienced machine learning practitioners....,Deep Learning Engineer,,60000.0
16,"Immucor, Inc","Mountain View, CA 94043","As our Bioinformatics Scientist, you will responsible for developing algorithms for analyzing high throughput sequencing data....",Bioinformatics Scientist,,60000.0
17,Siemens,"Berkeley, CA","This Senior Scientist will. Sequencing data analysis and applications programming; Responsibilities include training and oversight of junior scientists,....","Sr. Scientist, R&D",,60000.0
18,Brainworks,"Oakland, CA","Our client, a fast-growing, well-funded, ecommerce start-up is looking for a Data Scientist . You will assist in building a data driven culture by exploring the...",Data Scientist,,60000.0
19,Qubol,"Santa Clara, CA",Host an office hours for analysts or data scientists. Work with data engineers and scientists to help them debug/tune PetaByte scale data problems using...,Duties,,60000.0
20,Zymergen,"Emeryville, CA 94608","Operations and Data Analysis:. Familiarity with concepts in statistics, tools to analyze data such as excel, jmp, or Spotfire....","Research Associate, CRISPR/Cas9 Genome Engineering",,60000.0
21,California Institute of Technology,"Pasadena, CA 91125","Develop and implement new technologies for real-time earthquake data processing, and oversee earthquake data analysis activities....",Staff Seismologist,,60000.0
22,Staples,"San Jose, CA 95113 (Downtown area)","Know how to access data and manipulate data from a variety of data sources (ex. Our mission is to, “Empower decisive informed decisions through timely and...",Consultant Software Engineer,,60000.0
23,Ayasdi,"Menlo Park, CA 94025","Gather & prioritize input from sales, marketing, data scientists, services & directly from customers & partners....",Platform Product Manager (Machine Learning),,60000.0
24,Stanford University,"Stanford, CA 94305","Analyze data, monitor and oversee experimental processes. Carry out all activities, including troubleshooting and resolving routine problems for scientist or...",Scanning Probe Microscopy Laboratory Manager,,60000.0
25,Roche,"Belmont, CA",There's plenty of data being generated. You will be helping create enterprise-scale software systems to tackle the fragmentation of this data....,Sr. Software Engineer - Diagnostic Information Systems,,60000.0
26,Roche,"Belmont, CA","We are rethinking the way that scientists, doctors and biotech companies interact with and analyze massive amounts of genomic data....",Sr. Product Manager,,60000.0
27,Osaro,"San Francisco, CA",Experience interfacing with large data sources and pre-processing data. Osaro has an agile team of scientists and experienced machine learning practitioners....,Software Engineer/DevOps,,60000.0
28,Ardelyx,"Fremont, CA 94555 (Northgate area)","Review and approve analytical/stability protocol, data and reports, maintain stability data base. Experience with electronic data systems preferred....",Senior Director of Quality Assurance,,60000.0
29,Celgene Corporation,"San Diego, CA 92121","Ability to analyze data and formulate solutions and conclusions. The team provides broad support to Celgene scientists, discovery, and development teams to...","Associate Operations Coordinator, Research Alliance",,60000.0
30,Celgene,"San Diego, CA","Ability to analyze data and formulate solutions and conclusions. The team provides broad support to Celgene scientists, discovery, and development teams to...","Associate Operations Coordinator, Research Alliance",,60000.0
31,Illumina,"San Diego, CA 92101",Presents data at scientific conferences. Experience in managing and mentoring junior and senior scientists while managing product development projects....,"Director, Product Development – Oncology",,60000.0
32,Celgene Corporation,"San Diego, CA 92121","Analyze and present data. The team provides broad support to Celgene scientists, discovery, and development teams to enable collaboration with research...","Sr. Operations Coordinator, Research Alliance",,60000.0
33,Celgene,"San Diego, CA","Analyze and present data. The team provides broad support to Celgene scientists, discovery, and development teams to enable collaboration with research...","Sr. Operations Coordinator, Research Alliance",,60000.0
34,Roche,"Belmont, CA",The complexity and sheer size of the data in the life sciences will make astronomical data problems look modest....,Software Project Manager (PjM),,60000.0
35,Quora,"Mountain View, CA","Work with designers, fellow engineers and data scientists to prototype and implement product features. Ability to use data and user research to inform product...",Full Stack Engineer,,60000.0
36,SpaceX,"Hawthorne, CA","Perform exploratory data analysis, extract data from various sources, clean and aggregate data. The Data Science team is a new team in the Enterprise Data... read more",Sr. Data Scientist,,60000.0
37,BrightFunnel,"San Francisco, CA 94108 (Financial District area)","2+ years of applying machine learning models and data science techniques to business problems. BrightFunnel, the pioneer in revenue attribution and forecasting... read more",Data Science / Machine Learning Engineer,,60000.0
38,Exponent,"Menlo Park, CA 94025","Exponent's Electrical Engineering & Computer Science Practice is currently hiring for a Managing Scientist in our Menlo Park, CA office.... read more",Managing Scientist,,60000.0
39,Zynga,"San Francisco, CA","Senior Data Scientist, User Acquisition. Data mining, predictive modeling, statistics, experimental design, computational analytics, econometric modeling, data... read more","Senior Data Scientist, Publishing and Marketing",,60000.0
40,Gladstone Institutes,"San Francisco, CA 94158 (South Of Market area)","You will be working with a whole genome sequence data primarily. Working closely with experimental scientists, you will perform implementation and pipelining of... read more",Bioinformatics Software Engineer,,60000.0
41,Ancestry,"San Francisco, CA","Ancestry is looking for a strong, hands-on technology leader to join our Big Data Architecture team to help shape our data scientists' machine learning efforts.... read more",Big Data Architect (machine learning),,60000.0
42,BioMarin Pharmaceutical Inc.,"San Rafael, CA",Ability to use computer effectively for data analysis. Test non-clinical and clinical samples and deliver quantitative data in a timely manner.... read more,"Research Associate 1 or 2, Drug Discovery (HPLC and Mass Spectrometry)",,60000.0
43,Cedars-Sinai,"Los Angeles, CA","Analyzes, interprets, summarizes and compiles data. Demonstrated aptitude to perform and design experimental protocols and procedures, including detailed data... read more",Postdoctoral Scientist,,60000.0
44,ZestFinance,"Los Angeles, CA","3+ years managing a team of data scientists. Lead a team of 10+ data scientists in developing high-quality, robust predictive algorithms.... read more","Director, Data Science",,60000.0
45,City of Hope,"Duarte, CA 91010","Assist in compiling metrics and reports, identify gaps/holes in data. About City of Hope....",Research Protocol Analyst,$29.91 - $46.36 an hour,60000.0
46,Gilead Sciences,"Foster City, CA","Excellent organizational skills in management of data, and internal and external collaborations, are essential....",Research Scientist I – Immunology & Inflammation,,60000.0
47,Uber,"San Francisco, CA 94103 (South Of Market area)",He or she must have shipped software using at least one of these foundational areas.Knowledge of both relational and nonrelational databases and big data...,"Backend Engineer, Advanced Programs",,60000.0
48,Xiar Tech,"Palo Alto, CA 94301 (Professorville area)","Data ScientistPalo Alto, CA6+monthsPlease look for local consultants only.We are looking for a Data Scientist with a large client – experience required is...",Data Scientist,,60000.0
49,AppFolio,"Santa Barbara, CA","Leverage AppFolio’s massive, well-structured data set to build new features and products that customers love. Who we are:....",Senior Software Engineer - Machine Learning,,60000.0
50,BroadSpot Imaging,"Richmond, CA","Write code to automate repetitive measurements and data analyses. Build, measure, and debug benchtop and small-volume prototypes, hands-on from initial assembly...",Optical Systems Engineer,,60000.0
51,MSD,"Palo Alto, CA","Ability to analyze, interpret and effectively present data at group and departmental meetings is required....","Senior Scientist, Protein Purification and Analytical Characterization",,60000.0
52,Johnson & Johnson Family of Companies,"San Diego, CA","The Principal Scientist will:. Janssen Research & Development, a Johnson & Johnson company, is recruiting for Principal Scientist, HTS, to be based in La Jolla,...","Principal Scientist, HTS",,60000.0
53,Uber,"San Francisco, CA 94103 (South Of Market area)",We are now operating at a massive scale with an ocean of data with which to innovate. Our team is very diverse and you would be working with some of the world’s...,Map Services - Routing Engineering Manager,,60000.0
54,GSPANN Technologies,"San Francisco, CA 94102 (Downtown area)","Accountable for delivery of all projects, programs and tactics covering all aspects of Analytics Delivery across all accountsInformation Analytics practice at...",Director of Delivery (BI & Analytics),,60000.0
55,[24]7,"San Jose, CA","You will be working closely with data scientists, peer developers and UX teams to develop new services that involve Machine Learning and NLP....","Sr. Software Engineer - Full Stack, AI Platform Services",,60000.0
56,Atreca,"Redwood City, CA 94063",We are looking for a Data Scientist who will help us use the information hidden in vast amounts of data to make smarter research decisions and discover novel...,Data Scientist,,60000.0
57,Genpact headstrong capital markets,"San Jose, CA","Develop in R and Python on big data platform. Ability to analyze data logically and exercise sound judgment in defining, evaluating, and solving difficult...",Machine Learning Specialist (R+ Python),,60000.0
58,The Honest Company (Career Page),"Los Angeles, CA","We're currently looking to add another Data Scientist to our fantastic Data team. As a Data Scientist, you'll have the opportunity to inform business decisions...",Data Scientist,,60000.0
59,Symantec,"Mountain View, CA","Data acquisition will require navigation of Hadoop, Spark, databases (SQL), 3rd party data sources and text processing....",Research Engineer/ Data Scientist,,60000.0
60,NEURALINK,"San Francisco, CA",Experience with biological data. Experience with time series data. Develop machine-learning techniques for decoding neural data in real time....,Data Scientist,,60000.0
61,Castle Global,"San Francisco, CA",Interface closely with the Backend and DevOps teams as well as with our internal data labeling services About You....,Machine Learning Engineer,,60000.0
62,Ursus Incorporated,"Fremont, CA",And data acquisition equipment. Manage and analyze experimental data. The research scientist will contribute as part of a small team of scientists and engineers...,Research Scientist,"$300,000 a year",60000.0
63,Mission Bio,"San Francisco, CA",We are seeking a highly-motivated Data Scientist I/II to provide analytical support of sequencing data from our proprietary single-cell genomics platform....,Data Scientist I/II,,60000.0
64,SmartDrive Systems,"San Diego, CA",Develop algorithms that collect continuous data by reducing the incoming sensor data streams. This is a specialized Data Scientist role within SmartDrive's...,"Principal Data Scientist, Classification and Feature Extraction",,60000.0
65,Pathway Genomics,"San Diego, CA 92121","The *Genetics Scientist*. Curate and update data (such as alleles, odds ratio, population characteristics) extracted from public and proprietary databases....","Genetics Scientist, R&D",,60000.0
66,MedQIA,"Los Angeles, CA 90024",Data/ Statistician Assistant. Performs the documentation related to data quality control and data revision. Develops a quality check system for each study and...,Data Statistician Assistant,,60000.0
67,Twitter,"San Francisco, CA 94103 (South Of Market area)","You will build Twitter’s next-generation Tailored Audience Targeting platform, working closely with product managers, data scientist, and machine learning...","Software Engineer, Backend",,60000.0
68,uBiome,"San Francisco, CA",Ability to organize data and write detailed reports with recommendations. Must possess a valid Clinical Laboratory Scientist license from the state of...,Regulatory Officer,,60000.0
69,HYP3R,"San Francisco, CA","From data scientists to marketing hackers. San Francisco, CA or Remote....",Product Designer,,60000.0
